species,productivity,grazing_management,climate,ef_methane_kg_head,notes
Horses,Low Productivity,Dry lot,Tropical Dry,3.5,
Horses,Low Productivity,Dry lot,Tropical Moist,3.5,
Horses,Low Productivity,Dry lot,Tropical Montane,3.5,
Horses,Low Productivity,Dry lot,Tropical Wet,3.5,
Horses,Low Productivity,Dry lot,Warm Temp Dry,2.6,
Horses,Low Productivity,Dry lot,Warm Temp Moist,2.6,
Horses,Low Productivity,Solid storage,Boreal Dry,3.5,
Horses,Low Productivity,Solid storage,Boreal Moist,3.5,
Horses,Low Productivity,Solid storage,Cool Temp Dry,3.5,
Horses,Low Productivity,Solid storage,Cool Temp Moist,3.5,
Horses,Low Productivity,Solid storage,Tropical Dry,8.7,
Horses,Low Productivity,Solid storage,Tropical Moist,8.7,
Horses,Low Productivity,Solid storage,Tropical Montane,8.7,
Horses,Low Productivity,Solid storage,Tropical Wet,8.7,
Horses,Low Productivity,Solid storage,Warm Temp Dry,7,
Horses,Low Productivity,Solid storage,Warm Temp Moist,7,
Mules/Asses,High Productivity,Dry lot,Boreal Dry,2.2,
Mules/Asses,High Productivity,Dry lot,Boreal Moist,2.2,
Mules/Asses,High Productivity,Dry lot,Cool Temp Dry,2.2,
Mules/Asses,High Productivity,Dry lot,Cool Temp Moist,2.2,
Mules/Asses,High Productivity,Dry lot,Tropical Dry,4.4,
Mules/Asses,High Productivity,Dry lot,Tropical Moist,4.4,
Mules/Asses,High Productivity,Dry lot,Tropical Montane,4.4,
Mules/Asses,High Productivity,Dry lot,Tropical Wet,4.4,
Mules/Asses,High Productivity,Dry lot,Warm Temp Dry,3.3,
Mules/Asses,High Productivity,Dry lot,Warm Temp Moist,3.3,
Mules/Asses,High Productivity,Solid storage,Boreal Dry,4.4,
Mules/Asses,High Productivity,Solid storage,Boreal Moist,4.4,
Mules/Asses,High Productivity,Solid storage,Cool Temp Dry,4.4,
Mules/Asses,High Productivity,Solid storage,Cool Temp Moist,4.4,
Mules/Asses,High Productivity,Solid storage,Tropical Dry,11.1,
Mules/Asses,High Productivity,Solid storage,Tropical Moist,11.1,
Mules/Asses,High Productivity,Solid storage,Tropical Montane,11.1,
Mules/Asses,High Productivity,Solid storage,Tropical Wet,11.1,
Mules/Asses,High Productivity,Solid storage,Warm Temp Dry,8.8,
Mules/Asses,High Productivity,Solid storage,Warm Temp Moist,8.8,
Mules/Asses,Low Productivity,Dry lot,Boreal Dry,1.7,
Mules/Asses,Low Productivity,Dry lot,Boreal Moist,1.7,
Mules/Asses,Low Productivity,Dry lot,Cool Temp Dry,1.7,
Mules/Asses,Low Productivity,Dry lot,Cool Temp Moist,1.7,
Mules/Asses,Low Productivity,Dry lot,Tropical Dry,3.5,
Mules/Asses,Low Productivity,Dry lot,Tropical Moist,3.5,
Mules/Asses,Low Productivity,Dry lot,Tropical Montane,3.5,
Mules/Asses,Low Productivity,Dry lot,Tropical Wet,3.5,
Mules/Asses,Low Productivity,Dry lot,Warm Temp Dry,2.6,
Mules/Asses,Low Productivity,Dry lot,Warm Temp Moist,2.6,
Mules/Asses,Low Productivity,Solid storage,Boreal Dry,3.5,
Mules/Asses,Low Productivity,Solid storage,Boreal Moist,3.5,
Mules/Asses,Low Productivity,Solid storage,Cool Temp Dry,3.5,
Mules/Asses,Low Productivity,Solid storage,Cool Temp Moist,3.5,
Mules/Asses,Low Productivity,Solid storage,Tropical Dry,8.7,
Mules/Asses,Low Productivity,Solid storage,Tropical Moist,8.7,
Mules/Asses,Low Productivity,Solid storage,Tropical Montane,8.7,
