"","X","profile_id","upper_depth","latitude","longitude","dsds","profile_layer_id","lower_depth","layer_name","sand_value_avg","silt_value_avg","clay_value_avg","bdfiod_value_avg","bdfiod_method","orgc_value_avg","totc_value_avg","orgc_sd","cstock_t.ha","landcover"
"197",3048,607246,0,40.49742889,-8.52803898,100,3111867,25,NA,NA,17.7,51,NA,NA,0.495,NA,0.388908729652601,14.8824200666424,"Grassland"
"199",3068,607248,0,39.31013107,-7.36005211,30,3111873,30,NA,NA,20.9,8.7,NA,NA,7.24,NA,NA,182.471676802889,"Tree cover"
"202",3082,607251,0,39.29953003,-8.06478786,95,3111879,20,NA,NA,27.1,9.6,NA,NA,5.05,NA,1.71119841047145,95.950599965922,"Tree cover"
"203",3098,607252,0,39.20162964,-8.05186081,120,3111883,30,NA,NA,31.7,11.5,NA,NA,5.22,NA,3.30925973595304,143.867599924412,"Grassland"
"204",3114,607253,0,39.74610901,-7.29970407,120,3111887,25,NA,NA,16.8,6.6,NA,NA,9.74,NA,5.69928065636357,182.459646849456,"Grassland"
"205",3130,607254,0,39.35263062,-7.38979912,125,3111891,25,NA,NA,9.5,7.2,NA,NA,2.175,NA,0.148492424049175,65.4951325942514,"Shrubland"
"206",3155,607255,0,39.31565094,-7.37338495,105,3111896,30,NA,NA,16.8,8.8,NA,NA,2.19333333333333,NA,1.33095204020781,76.8065760520051,"Tree cover"
"207",3171,607256,0,39.3920784,-8.50846958,90,3111900,25,NA,NA,23.5,13,NA,NA,1.295,NA,0.742462120245875,39.5903900994798,"Cropland"
"210",3212,607259,0,40.56666946,-8.23333359,55,3111911,25,NA,NA,22.2,53.9,NA,NA,0.69,NA,NA,20.1436912155451,"Grassland"
"211",3221,607260,0,41.15800858,-7.40322304,90,3111914,30,NA,NA,12.3,6.5,NA,NA,1.98,NA,0.806101730552664,71.7947798095886,"Grassland"
"215",3275,607264,0,39.25226974,-8.0252943,130,3111928,30,NA,NA,27.8,7.6,NA,NA,3.165,NA,2.45366053071732,100.918897127565,"Grassland"
"216",3291,607265,0,40.23674011,-7.20023203,110,3111932,15,NA,NA,18.1,6.7,NA,NA,3.16,NA,1.0569768209379,52.7728943589026,"Bare/sparse vegetation"
"220",3373,607269,0,41.31579971,-7.15518618,100,3111950,30,NA,NA,15.3,13.4,NA,NA,2.125,NA,0.96873629022557,74.1888976571486,"Grassland"
"225",3449,607274,0,39.01205063,-6.98829222,130,3111968,30,NA,NA,21.2,8.2,NA,NA,0.965,NA,0.176776695296637,36.8206931314563,"Grassland"
"235",3546,607284,0,40.44031906,-8.49425888,95,3111997,30,NA,NA,7.8,7.3,NA,NA,0.35,NA,NA,14.7267778537631,"Grassland"
